,FB,AMZN,AAPL,NFLX,GOOGL,BTC
8/20/2018,174.6499939,1905.390015,211.7173309,358.8200073,1236.75,6256.6063
8/27/2018,175.7299957,2012.709961,222.9515839,367.6799927,1231.800049,6907.6613
9/3/2018,163.0399933,1952.069946,216.7516937,348.6799927,1177.589966,7261.4863
9/10/2018,162.3200073,1970.189941,219.2394867,364.5599976,1177.97998,6305.5738
9/17/2018,162.9299927,1915.01001,213.1865082,361.1900024,1172.119995,6251.16
9/24/2018,164.4600067,2003,221.1004333,374.1300049,1207.079956,6581.51
10/1/2018,157.3300018,1889.650024,219.6802216,351.3500061,1167.829956,6578.7938
10/8/2018,153.7400055,1788.609985,217.5450439,339.5599976,1120.540039,6622.4013
10/15/2018,154.0500031,1764.030029,214.8025665,332.6700134,1105.180054,6513.3838
10/22/2018,145.3699951,1642.810059,211.8544617,299.8299866,1083.75,6448.0988
10/29/2018,150.3500061,1665.530029,203.2157135,309.1000061,1071.48999,6285.2338
11/5/2018,144.9600067,1712.430054,200.2675934,303.4700012,1077.02002,6420.865
11/12/2018,139.5299988,1593.410034,190.2138062,286.2099915,1068.27002,6356.0238
11/19/2018,131.7299957,1502.060059,169.3377686,258.8200073,1030.099976,4785.1538
11/26/2018,140.6100006,1690.170044,175.519989,286.1300049,1109.650024,3761.4213
12/3/2018,137.4199982,1629.130005,165.6029053,265.1400146,1046.579956,3855.6833
12/10/2018,144.0599976,1591.910034,162.6444397,266.8399963,1051.709961,3447.345
12/17/2018,124.9499969,1377.449951,148.1472015,246.3899994,991.25,3540.1967
12/24/2018,133.1999969,1478.02002,153.5529785,256.0799866,1046.680054,4069.8067
12/31/2018,137.9499969,1575.390015,145.7195129,297.5700073,1078.069946,3740.5
1/7/2019,143.8000031,1640.560059,149.6804657,337.5899963,1064.469971,4041.4583
1/14/2019,150.0399933,1696.199951,154.1328583,339.1000061,1107.300049,3706.1725
1/21/2019,149.0099945,1670.569946,155.0567474,338.0499878,1101.51001,3548.69
1/28/2019,165.7100067,1626.22998,163.6666412,339.8500061,1118.619995,3454.48
2/4/2019,167.3300018,1588.219971,167.4899902,347.5700073,1102.380005,3451.115
2/11/2019,162.5,1607.949951,168.2182007,356.8699951,1119.630005,3621.0283
2/18/2019,161.8899994,1631.560059,170.7352295,363.019989,1116.560059,3905.7433
2/25/2019,162.2799988,1671.72998,172.7093811,357.3200073,1148.52002,3852.16
3/4/2019,169.6000061,1620.800049,170.6760254,349.6000061,1149.969971,3732.5733
3/11/2019,165.9799957,1712.359985,183.715332,361.4599915,1190.300049,3882.615
3/18/2019,164.3399963,1764.77002,188.5816498,361.0100098,1207.650024,4004.8117
3/25/2019,166.6900024,1780.75,187.4958649,356.5599976,1176.890015,3929.3083
4/1/2019,175.7200012,1837.280029,194.4547577,365.4899902,1211.449951,4156.39
4/8/2019,179.1000061,1843.060059,196.3006134,351.1400146,1222.72998,5296.9317
4/15/2019,178.2799988,1861.689941,201.2261505,360.3500061,1241.469971,5033.095
4/22/2019,191.4900055,1950.630005,201.6604614,374.8500061,1277.420044,5396.5783
4/29/2019,195.4700012,1962.459961,209.0142212,385.0299988,1189.550049,5259.6267
5/6/2019,188.3399963,1889.97998,194.6324463,361.0400085,1167.640015,5799.6167
5/13/2019,185.3000031,1869,187.2765808,354.4500122,1168.780029,7801.2967
5/20/2019,181.0599976,1823.280029,177.3380432,354.3900146,1138.609985,7995.965
5/27/2019,177.4700012,1775.069946,173.4736023,343.2799988,1106.5,8783.0683
6/3/2019,173.3500061,1804.030029,188.4160767,360.8699951,1068.369995,8105.13
6/10/2019,181.3300018,1869.670044,190.9824677,339.730011,1086.300049,8016.6917
6/17/2019,191.1399994,1911.300049,196.9673767,369.2099915,1125.369995,9340.25
